Name,City,CuisineStyle,Ranking,Rating,NumberofReviews
Martine of Martine's Table,Amsterdam,"['French', 'Dutch', 'European']",1,5,136
De Silveren Spiegel,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",2,4.5,812
La Rive,Amsterdam,"['Mediterranean', 'French', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options']",3,4.5,567
Vinkeles,Amsterdam,"['French', 'European', 'International', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4,5,564
Librije's Zusje Amsterdam,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",5,4.5,316
Ciel Bleu Restaurant,Amsterdam,"['Contemporary', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",6,4.5,745
Zaza's,Amsterdam,"['French', 'International', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",7,4.5,1455
Blue Pepper Restaurant And Candlelight Cruises,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",8,4.5,675
Teppanyaki Restaurant Sazanka,Amsterdam,"['Japanese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",9,4.5,923
Rob Wigboldus Vishandel,Amsterdam,"['Dutch', 'Seafood', 'Fast Food']",10,4.5,450
The Happy Bull,Amsterdam,"['American', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",11,4.5,295
Gartine,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",12,4.5,967
Restaurant Adam,Amsterdam,"['French', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",13,4.5,368
Biercafe Gollem,Amsterdam,"['Bar', 'Pub']",14,4.5,586
Restaurant Daalder,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",15,4.5,1246
Greenwoods Keizersgracht,Amsterdam,"['Dutch', 'Cafe', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",16,4.5,1391
Omelegg - City Centre,Amsterdam,"['Dutch', 'European', 'Healthy', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",17,4.5,1633
Brasserie Ambassade,Amsterdam,"['French', 'Bar', 'International', 'European', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options']",18,4.5,958
Sherpa Restaurant,Amsterdam,"['Indian', 'Tibetan', 'Nepali', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",19,4.5,426
La Maschera Lillotatini,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",20,4.5,421
Senses Restaurant,Amsterdam,"['International', 'European']",21,4.5,1380
MOS Amsterdam,Amsterdam,"['French', 'Dutch', 'Seafood', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",22,4.5,239
Restaurant Vlaming,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",23,4.5,996
Arendsnest Dutch Beer Bar,Amsterdam,"['Dutch', 'Bar', 'Pub']",24,4.5,716
Jacketz,Amsterdam,"['Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",25,4.5,1958
Greenwoods Singel,Amsterdam,"['Cafe', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",26,4.5,2360
Bord'Eau,Amsterdam,"['French', 'International', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",27,4.5,666
Omelegg - De Pijp,Amsterdam,"['Dutch', 'Cafe', 'European', 'Healthy', 'Central European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",28,4.5,1642
Harmsen,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",29,4.5,344
Brasserie SenT,Amsterdam,"['Barbecue', 'French', 'Steakhouse', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",30,4.5,646
MAX Amsterdam,Amsterdam,"['European', 'Contemporary', 'Indonesian', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",31,4.5,1869
Restaurant Argentino Luna,Amsterdam,"['Steakhouse', 'Latin', 'Barbecue', 'Argentinean', 'South American', 'Gluten Free Options']",32,4.5,821
Lombardo's,Amsterdam,"['Barbecue', 'American', 'Grill', 'Delicatessen']",33,4.5,2052
Midtown Grill,Amsterdam,"['Barbecue', 'American', 'Steakhouse', 'European']",34,4.5,1181
Eatmosfera Ristorante,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",35,4.5,973
Broodje Bert,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",36,4.5,685
Jacketz Nieuwendijk,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",37,4.5,264
Toastable Nieuwendijk,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",38,4.5,308
Tales and Spirits,Amsterdam,"['Bar', 'European', 'International', 'Vegetarian Friendly']",39,4.5,697
Krua Thai Classic Restaurant,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",40,4.5,465
